Name,Date,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,CMP / BV,EPS 12M Rs.,ROE %,Debt / Eq,Ind PE,PEG
Adani Ports,"22/05/2024, ""to"", 27/05/2024",58.25,1.3999999999999986,12650.729999999981,-0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.14999999999999947,0.0,0.0,0.0,2.6599999999999966,0.08999999999999986
Apollo Hospitals,"22/05/2024, ""to"", 27/05/2024",30.0,0.5499999999999972,406.4699999999866,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999574,0.0,0.0,0.0,-0.0899999999999963,0.0
Asian Paints,"22/05/2024, ""to"", 27/05/2024",56.19999999999982,1.0499999999999972,5347.340000000026,-0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.3199999999999985,0.0,0.0,0.0,-0.6900000000000048,0.04999999999999982
Axis Bank,"22/05/2024, ""to"", 27/05/2024",29.15000000000009,0.2699999999999996,8457.570000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999986,0.0,0.0,0.0,0.6400000000000006,0.009999999999999953
B P C L,"22/05/2024, ""to"", 27/05/2024",2.650000000000091,-0.04999999999999982,574.7999999999884,0.010000000000000231,0.0,0.0,0.0,0.0,0.0,0.030000000000000027,0.0,0.0,0.0,0.009999999999999787,-0.010000000000000009
Bajaj Auto,"22/05/2024, ""to"", 27/05/2024",152.5500000000011,0.5700000000000003,4280.239999999991,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.13000000000000078,0.0,0.0,0.0,-3.710000000000008,0.04999999999999982
Bajaj Finance,"22/05/2024, ""to"", 27/05/2024",71.64999999999964,0.25,4228.479999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999986,0.0,0.0,0.0,-0.9399999999999977,0.010000000000000009
Bajaj Finserv,"22/05/2024, ""to"", 27/05/2024",25.5,0.48999999999999844,4027.9799999999814,0.0,0.0,0.0,0.0,0.0,0.0,0.07000000000000028,0.0,0.0,0.0,-0.9399999999999977,0.020000000000000018
Bharti Airtel,"22/05/2024, ""to"", 27/05/2024",35.200000000000045,1.8100000000000023,20965.880000000005,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.3100000000000005,0.0,0.0,0.0,1.2199999999999989,0.010000000000000009
Britannia Inds.,"22/05/2024, ""to"", 27/05/2024",95.59999999999945,1.1499999999999986,2371.550000000003,-0.04999999999999982,0.0,0.0,0.0,0.0,0.0,0.5700000000000038,0.0,0.0,0.0,2.1199999999999974,0.08999999999999986
Cipla,"22/05/2024, ""to"", 27/05/2024",46.30000000000018,0.8800000000000026,3799.0999999999913,-0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.16000000000000014,0.0,0.0,0.0,-1.5200000000000031,0.030000000000000027
Coal India,"22/05/2024, ""to"", 27/05/2024",7.150000000000034,0.20999999999999908,4467.460000000021,-0.07000000000000028,0.0,0.0,0.0,0.0,0.0,-0.009999999999999787,0.0,0.0,0.0,1.1899999999999977,0.010000000000000009
Divi's Lab.,"22/05/2024, ""to"", 27/05/2024",88.0,1.6600000000000108,2272.8899999999994,-0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.1999999999999993,0.0,0.0,0.0,-1.9799999999999969,0.11000000000000032
Dr Reddy's Labs,"22/05/2024, ""to"", 27/05/2024",111.64999999999964,0.40000000000000213,1864.179999999993,-0.009999999999999898,0.0,0.0,0.0,0.0,0.0,0.08000000000000007,0.0,0.0,0.0,-1.5200000000000031,0.010000000000000009
Eicher Motors,"22/05/2024, ""to"", 27/05/2024",186.65000000000055,1.240000000000002,5093.600000000006,-0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.1900000000000004,0.0,0.0,0.0,-0.44000000000000483,0.10000000000000009
Grasim Inds,"22/05/2024, ""to"", 27/05/2024",4.450000000000273,-1.129999999999999,313.4400000000023,0.009999999999999953,118.38000000000011,54.37,5761.649999999998,1.1300000000000008,-0.5899999999999999,-0.19999999999999996,2.780000000000001,-1.8499999999999996,0.08000000000000007,0.0,0.020000000000000018
HCL Technologies,"22/05/2024, ""to"", 27/05/2024",10.549999999999955,0.19000000000000128,2849.2900000000373,-0.06000000000000005,0.0,0.0,0.0,0.0,0.0,0.019999999999999574,0.0,0.0,0.0,0.1700000000000017,0.020000000000000018
HDFC Bank,"22/05/2024, ""to"", 27/05/2024",36.0,0.45000000000000284,26921.639999999898,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,0.6400000000000006,0.020000000000000018
HDFC Life Insur.,"22/05/2024, ""to"", 27/05/2024",0.0,0.04000000000000625,65.10000000000582,0.0,0.0,0.0,0.0,0.0,0.0,-0.02999999999999936,0.0,0.0,0.0,0.3200000000000003,0.0
Hero Motocorp,"22/05/2024, ""to"", 27/05/2024",108.59999999999945,0.5399999999999991,2170.1800000000076,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.08999999999999986,0.0,0.0,0.0,-0.44000000000000483,0.1899999999999995
Hind. Unilever,"22/05/2024, ""to"", 27/05/2024",71.5,1.6899999999999977,16823.22999999998,-0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.2599999999999998,0.0,0.0,0.0,0.9200000000000017,0.15999999999999925
Hindalco Inds.,"22/05/2024, ""to"", 27/05/2024",-15.75,-0.46000000000000085,-3472.74000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,0.7699999999999996,-0.030000000000000027
ICICI Bank,"22/05/2024, ""to"", 27/05/2024",14.700000000000045,0.10000000000000142,9604.009999999893,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,0.6400000000000006,0.0
ITC,"22/05/2024, ""to"", 27/05/2024",6.350000000000023,0.46000000000000085,8115.760000000009,-0.040000000000000036,-215.8100000000004,-6.630000000000001,-96.66999999999825,-0.15000000000000013,-1.5499999999999972,-0.4899999999999993,-0.0799999999999983,-0.6000000000000014,0.0,-0.6499999999999986,0.41000000000000014
IndusInd Bank,"22/05/2024, ""to"", 27/05/2024",37.25,0.2400000000000002,2517.770000000004,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.04999999999999982,0.0,0.0,0.0,0.6400000000000006,0.009999999999999898
Infosys,"22/05/2024, ""to"", 27/05/2024",38.450000000000045,0.5699999999999967,16023.209999999963,-0.06999999999999984,0.0,0.0,0.0,0.0,0.0,0.1800000000000006,0.0,0.0,0.0,0.1700000000000017,0.04999999999999982
JSW Steel,"22/05/2024, ""to"", 27/05/2024",-6.899999999999977,-0.21999999999999886,-1528.1300000000047,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,-0.04999999999999982,0.0,0.0,0.0,-0.14000000000000057,-0.10000000000000142
Kotak Mah. Bank,"22/05/2024, ""to"", 27/05/2024",14.149999999999864,0.10999999999999943,2643.1199999999953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6400000000000006,0.0
LTIMindtree,"22/05/2024, ""to"", 27/05/2024",96.35000000000036,0.6000000000000014,2849.0599999999977,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,0.0,0.0,0.0,0.1700000000000017,0.020000000000000018
Larsen & Toubro,"22/05/2024, ""to"", 27/05/2024",145.4000000000001,1.5399999999999991,20118.110000000044,-0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.1900000000000004,0.0,0.0,0.0,1.1099999999999994,0.17999999999999972
M & M,"22/05/2024, ""to"", 27/05/2024",89.14999999999964,1.0300000000000011,11144.049999999988,-0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.15000000000000036,0.0,0.0,0.0,-29.38,0.06000000000000005
Maruti Suzuki,"22/05/2024, ""to"", 27/05/2024",458.7999999999993,1.120000000000001,14335.630000000005,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.17999999999999972,0.0,0.0,0.0,-29.38,0.06000000000000005
NTPC,"22/05/2024, ""to"", 27/05/2024",0.44999999999998863,0.07000000000000028,387.96999999997206,0.0,0.0,0.0,0.0,0.0,0.0,-0.009999999999999787,0.0,0.0,0.0,0.4200000000000017,0.010000000000000009
Nestle India,"22/05/2024, ""to"", 27/05/2024",2.099999999999909,0.0799999999999983,333.0100000000093,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0800000000000125,0.0,0.0,0.0,2.1199999999999974,0.009999999999999787
O N G C,"22/05/2024, ""to"", 27/05/2024",3.6999999999999886,0.07000000000000028,4654.640000000014,-0.10999999999999988,0.0,0.0,0.0,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,4.470000000000001,0.010000000000000009
Power Grid Corpn,"22/05/2024, ""to"", 27/05/2024",-5.100000000000023,-0.22999999999999687,-4789.040000000037,0.06999999999999984,138.07999999999993,-14.120000000000001,428.3199999999997,-4.890000000000001,-0.10999999999999943,-0.08999999999999986,-0.1700000000000017,-1.259999999999998,0.040000000000000036,0.4200000000000017,1.7400000000000002
Reliance Industr,"22/05/2024, ""to"", 27/05/2024",102.09999999999991,0.9200000000000017,69456.22999999998,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.07999999999999963,0.0,0.0,0.0,0.009999999999999787,0.06999999999999984
SBI Life Insuran,"22/05/2024, ""to"", 27/05/2024",20.09999999999991,1.0699999999999932,2094.1999999999825,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000036,0.0,0.0,0.0,0.3200000000000003,0.11999999999999922
Shriram Finance,"22/05/2024, ""to"", 27/05/2024",32.54999999999973,0.17999999999999972,1263.800000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.0,0.0,0.0,-0.9399999999999977,0.0
St Bk of India,"22/05/2024, ""to"", 27/05/2024",1.5,-0.08000000000000007,840.2000000000698,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.009999999999999787,0.0,0.0,0.0,0.0,0.0
Sun Pharma.Inds.,"22/05/2024, ""to"", 27/05/2024",-37.90000000000009,-3.4200000000000017,-9326.330000000016,0.020000000000000018,98.19999999999982,9.469999999999999,-397.8000000000011,-0.5099999999999998,0.8699999999999974,-0.5,2.789999999999999,0.16999999999999815,0.020000000000000004,-1.5200000000000031,0.040000000000000036
TCS,"22/05/2024, ""to"", 27/05/2024",71.39999999999964,0.5699999999999967,26072.12000000011,-0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.2900000000000009,0.0,0.0,0.0,0.1700000000000017,0.07000000000000028
Tata Consumer,"22/05/2024, ""to"", 27/05/2024",23.049999999999955,1.5499999999999972,2172.4100000000035,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.14999999999999947,0.0,0.0,0.0,5.620000000000001,0.06000000000000005
Tata Motors,"22/05/2024, ""to"", 27/05/2024",10.950000000000045,0.15000000000000036,4115.119999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.08000000000000007,0.0,0.0,0.0,-1.1199999999999974,0.0
Tata Steel,"22/05/2024, ""to"", 27/05/2024",1.1500000000000057,0.769999999999996,1435.570000000007,-0.06000000000000005,0.0,0.0,0.0,0.0,0.0,0.04999999999999982,0.0,0.0,0.0,-0.14000000000000057,0.29000000000000625
Tech Mahindra,"22/05/2024, ""to"", 27/05/2024",12.75,0.4899999999999949,1289.75,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.08000000000000007,0.0,0.0,0.0,0.1700000000000017,-0.05000000000000071
Titan Company,"22/05/2024, ""to"", 27/05/2024",74.95000000000027,1.8400000000000034,6626.709999999963,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.7600000000000016,0.0,0.0,0.0,-0.9699999999999989,0.08999999999999986
UltraTech Cem.,"22/05/2024, ""to"", 27/05/2024",373.75,1.519999999999996,10825.729999999981,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.17999999999999972,0.0,0.0,0.0,0.40000000000000213,0.06000000000000005
Wipro,"22/05/2024, ""to"", 27/05/2024",5.300000000000011,0.23000000000000043,2821.8699999999953,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,0.1700000000000017,0.05999999999999961
Adani Enterp.,"22/05/2024, ""to"", 27/05/2024",272.4500000000003,8.420000000000002,31225.380000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.8500000000000014,0.0,0.0,0.0,-0.6799999999999997,0.18999999999999995
Adani Ports,"22/05/2024, ""to"", 27/05/2024",58.25,1.3999999999999986,12650.729999999981,-0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.14999999999999947,0.0,0.0,0.0,2.6599999999999966,0.08999999999999986
Apollo Hospitals,"22/05/2024, ""to"", 27/05/2024",30.0,0.5499999999999972,406.4699999999866,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999574,0.0,0.0,0.0,-0.0899999999999963,0.0
Asian Paints,"22/05/2024, ""to"", 27/05/2024",56.19999999999982,1.0499999999999972,5347.340000000026,-0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.3199999999999985,0.0,0.0,0.0,-0.6900000000000048,0.04999999999999982
Axis Bank,"22/05/2024, ""to"", 27/05/2024",29.15000000000009,0.2699999999999996,8457.570000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999986,0.0,0.0,0.0,0.6400000000000006,0.009999999999999953
B P C L,"22/05/2024, ""to"", 27/05/2024",2.650000000000091,-0.04999999999999982,574.7999999999884,0.010000000000000231,0.0,0.0,0.0,0.0,0.0,0.030000000000000027,0.0,0.0,0.0,0.009999999999999787,-0.010000000000000009
Bajaj Auto,"22/05/2024, ""to"", 27/05/2024",152.5500000000011,0.5700000000000003,4280.239999999991,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.13000000000000078,0.0,0.0,0.0,-3.710000000000008,0.04999999999999982
Bajaj Finance,"22/05/2024, ""to"", 27/05/2024",71.64999999999964,0.25,4228.479999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999986,0.0,0.0,0.0,-0.9399999999999977,0.010000000000000009
Bajaj Finserv,"22/05/2024, ""to"", 27/05/2024",25.5,0.48999999999999844,4027.9799999999814,0.0,0.0,0.0,0.0,0.0,0.0,0.07000000000000028,0.0,0.0,0.0,-0.9399999999999977,0.020000000000000018
Bharti Airtel,"22/05/2024, ""to"", 27/05/2024",35.200000000000045,1.8100000000000023,20965.880000000005,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.3100000000000005,0.0,0.0,0.0,1.2199999999999989,0.010000000000000009
Britannia Inds.,"22/05/2024, ""to"", 27/05/2024",95.59999999999945,1.1499999999999986,2371.550000000003,-0.04999999999999982,0.0,0.0,0.0,0.0,0.0,0.5700000000000038,0.0,0.0,0.0,2.1199999999999974,0.08999999999999986
Cipla,"22/05/2024, ""to"", 27/05/2024",46.30000000000018,0.8800000000000026,3799.0999999999913,-0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.16000000000000014,0.0,0.0,0.0,-1.5200000000000031,0.030000000000000027
Coal India,"22/05/2024, ""to"", 27/05/2024",7.150000000000034,0.20999999999999908,4467.460000000021,-0.07000000000000028,0.0,0.0,0.0,0.0,0.0,-0.009999999999999787,0.0,0.0,0.0,1.1899999999999977,0.010000000000000009
Divi's Lab.,"22/05/2024, ""to"", 27/05/2024",88.0,1.6600000000000108,2272.8899999999994,-0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.1999999999999993,0.0,0.0,0.0,-1.9799999999999969,0.11000000000000032
Dr Reddy's Labs,"22/05/2024, ""to"", 27/05/2024",111.64999999999964,0.40000000000000213,1864.179999999993,-0.009999999999999898,0.0,0.0,0.0,0.0,0.0,0.08000000000000007,0.0,0.0,0.0,-1.5200000000000031,0.010000000000000009
Eicher Motors,"22/05/2024, ""to"", 27/05/2024",186.65000000000055,1.240000000000002,5093.600000000006,-0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.1900000000000004,0.0,0.0,0.0,-0.44000000000000483,0.10000000000000009
Grasim Inds,"22/05/2024, ""to"", 27/05/2024",4.450000000000273,-1.129999999999999,313.4400000000023,0.009999999999999953,118.38000000000011,54.37,5761.649999999998,1.1300000000000008,-0.5899999999999999,-0.19999999999999996,2.780000000000001,-1.8499999999999996,0.08000000000000007,0.0,0.020000000000000018
HCL Technologies,"22/05/2024, ""to"", 27/05/2024",10.549999999999955,0.19000000000000128,2849.2900000000373,-0.06000000000000005,0.0,0.0,0.0,0.0,0.0,0.019999999999999574,0.0,0.0,0.0,0.1700000000000017,0.020000000000000018
HDFC Bank,"22/05/2024, ""to"", 27/05/2024",36.0,0.45000000000000284,26921.639999999898,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,0.6400000000000006,0.020000000000000018
HDFC Life Insur.,"22/05/2024, ""to"", 27/05/2024",0.0,0.04000000000000625,65.10000000000582,0.0,0.0,0.0,0.0,0.0,0.0,-0.02999999999999936,0.0,0.0,0.0,0.3200000000000003,0.0
Hero Motocorp,"22/05/2024, ""to"", 27/05/2024",108.59999999999945,0.5399999999999991,2170.1800000000076,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.08999999999999986,0.0,0.0,0.0,-0.44000000000000483,0.1899999999999995
Hind. Unilever,"22/05/2024, ""to"", 27/05/2024",71.5,1.6899999999999977,16823.22999999998,-0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.2599999999999998,0.0,0.0,0.0,0.9200000000000017,0.15999999999999925
Hindalco Inds.,"22/05/2024, ""to"", 27/05/2024",-15.75,-0.46000000000000085,-3472.74000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,0.7699999999999996,-0.030000000000000027
ICICI Bank,"22/05/2024, ""to"", 27/05/2024",14.700000000000045,0.10000000000000142,9604.009999999893,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,0.6400000000000006,0.0
ITC,"22/05/2024, ""to"", 27/05/2024",6.350000000000023,0.46000000000000085,8115.760000000009,-0.040000000000000036,-215.8100000000004,-6.630000000000001,-96.66999999999825,-0.15000000000000013,-1.5499999999999972,-0.4899999999999993,-0.0799999999999983,-0.6000000000000014,0.0,-0.6499999999999986,0.41000000000000014
IndusInd Bank,"22/05/2024, ""to"", 27/05/2024",37.25,0.2400000000000002,2517.770000000004,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.04999999999999982,0.0,0.0,0.0,0.6400000000000006,0.009999999999999898
Infosys,"22/05/2024, ""to"", 27/05/2024",38.450000000000045,0.5699999999999967,16023.209999999963,-0.06999999999999984,0.0,0.0,0.0,0.0,0.0,0.1800000000000006,0.0,0.0,0.0,0.1700000000000017,0.04999999999999982
JSW Steel,"22/05/2024, ""to"", 27/05/2024",-6.899999999999977,-0.21999999999999886,-1528.1300000000047,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,-0.04999999999999982,0.0,0.0,0.0,-0.14000000000000057,-0.10000000000000142
Kotak Mah. Bank,"22/05/2024, ""to"", 27/05/2024",14.149999999999864,0.10999999999999943,2643.1199999999953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6400000000000006,0.0
LTIMindtree,"22/05/2024, ""to"", 27/05/2024",96.35000000000036,0.6000000000000014,2849.0599999999977,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,0.0,0.0,0.0,0.1700000000000017,0.020000000000000018
Larsen & Toubro,"22/05/2024, ""to"", 27/05/2024",145.4000000000001,1.5399999999999991,20118.110000000044,-0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.1900000000000004,0.0,0.0,0.0,1.1099999999999994,0.17999999999999972
M & M,"22/05/2024, ""to"", 27/05/2024",89.14999999999964,1.0300000000000011,11144.049999999988,-0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.15000000000000036,0.0,0.0,0.0,-29.38,0.06000000000000005
Maruti Suzuki,"22/05/2024, ""to"", 27/05/2024",458.7999999999993,1.120000000000001,14335.630000000005,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.17999999999999972,0.0,0.0,0.0,-29.38,0.06000000000000005
NTPC,"22/05/2024, ""to"", 27/05/2024",0.44999999999998863,0.07000000000000028,387.96999999997206,0.0,0.0,0.0,0.0,0.0,0.0,-0.009999999999999787,0.0,0.0,0.0,0.4200000000000017,0.010000000000000009
Nestle India,"22/05/2024, ""to"", 27/05/2024",2.099999999999909,0.0799999999999983,333.0100000000093,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0800000000000125,0.0,0.0,0.0,2.1199999999999974,0.009999999999999787
O N G C,"22/05/2024, ""to"", 27/05/2024",3.6999999999999886,0.07000000000000028,4654.640000000014,-0.10999999999999988,0.0,0.0,0.0,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,4.470000000000001,0.010000000000000009
Power Grid Corpn,"22/05/2024, ""to"", 27/05/2024",-5.100000000000023,-0.22999999999999687,-4789.040000000037,0.06999999999999984,138.07999999999993,-14.120000000000001,428.3199999999997,-4.890000000000001,-0.10999999999999943,-0.08999999999999986,-0.1700000000000017,-1.259999999999998,0.040000000000000036,0.4200000000000017,1.7400000000000002
Reliance Industr,"22/05/2024, ""to"", 27/05/2024",102.09999999999991,0.9200000000000017,69456.22999999998,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.07999999999999963,0.0,0.0,0.0,0.009999999999999787,0.06999999999999984
SBI Life Insuran,"22/05/2024, ""to"", 27/05/2024",20.09999999999991,1.0699999999999932,2094.1999999999825,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000036,0.0,0.0,0.0,0.3200000000000003,0.11999999999999922
Shriram Finance,"22/05/2024, ""to"", 27/05/2024",32.54999999999973,0.17999999999999972,1263.800000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.0,0.0,0.0,-0.9399999999999977,0.0
St Bk of India,"22/05/2024, ""to"", 27/05/2024",1.5,-0.08000000000000007,840.2000000000698,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.009999999999999787,0.0,0.0,0.0,0.0,0.0
Sun Pharma.Inds.,"22/05/2024, ""to"", 27/05/2024",-37.90000000000009,-3.4200000000000017,-9326.330000000016,0.020000000000000018,98.19999999999982,9.469999999999999,-397.8000000000011,-0.5099999999999998,0.8699999999999974,-0.5,2.789999999999999,0.16999999999999815,0.020000000000000004,-1.5200000000000031,0.040000000000000036
TCS,"22/05/2024, ""to"", 27/05/2024",71.39999999999964,0.5699999999999967,26072.12000000011,-0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.2900000000000009,0.0,0.0,0.0,0.1700000000000017,0.07000000000000028
Tata Consumer,"22/05/2024, ""to"", 27/05/2024",23.049999999999955,1.5499999999999972,2172.4100000000035,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.14999999999999947,0.0,0.0,0.0,5.620000000000001,0.06000000000000005
Tata Motors,"22/05/2024, ""to"", 27/05/2024",10.950000000000045,0.15000000000000036,4115.119999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.08000000000000007,0.0,0.0,0.0,-1.1199999999999974,0.0
Tata Steel,"22/05/2024, ""to"", 27/05/2024",1.1500000000000057,0.769999999999996,1435.570000000007,-0.06000000000000005,0.0,0.0,0.0,0.0,0.0,0.04999999999999982,0.0,0.0,0.0,-0.14000000000000057,0.29000000000000625
Tech Mahindra,"22/05/2024, ""to"", 27/05/2024",12.75,0.4899999999999949,1289.75,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.08000000000000007,0.0,0.0,0.0,0.1700000000000017,-0.05000000000000071
Titan Company,"22/05/2024, ""to"", 27/05/2024",74.95000000000027,1.8400000000000034,6626.709999999963,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.7600000000000016,0.0,0.0,0.0,-0.9699999999999989,0.08999999999999986
UltraTech Cem.,"22/05/2024, ""to"", 27/05/2024",373.75,1.519999999999996,10825.729999999981,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.17999999999999972,0.0,0.0,0.0,0.40000000000000213,0.06000000000000005
Wipro,"22/05/2024, ""to"", 27/05/2024",5.300000000000011,0.23000000000000043,2821.8699999999953,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,0.1700000000000017,0.05999999999999961
