Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,CMP / BV,EPS 12M Rs.,ROE %,Debt / Eq,Ind PE,PEG,Date
Grasim Inds,2370.75,28.20,158599.41,0.42,2603.43,-39.80,31965.48,11.62,9.97,1.94,82.64,8.85,1.47,28.36,1.46,2024-05-14
Eicher Motors,4726.15,32.36,129467.19,0.78,1070.45,18.21,4256.04,11.87,31.13,7.17,146.13,24.22,0.02,58.28,2.55,2024-05-14
Dr Reddy's Labs,5861.00,17.50,97606.99,0.68,1309.80,36.42,7113.80,12.65,26.86,3.46,334.37,21.64,0.07,34.89,0.71,2024-05-14
Divi's Lab.,3891.40,74.64,103226.59,0.77,358.00,16.99,1855.00,8.61,19.36,8.15,52.10,14.89,0.00,32.36,4.77,2024-05-14
Coal India,448.60,7.40,276459.99,5.40,8640.45,25.78,37410.39,-1.94,65.11,3.34,60.69,53.39,0.08,18.48,0.45,2024-05-14
Cipla,1356.95,25.73,109547.85,0.63,931.87,48.80,6163.24,7.39,23.08,4.10,51.05,16.99,0.02,34.89,1.01,2024-05-14
Britannia Inds.,5127.25,57.75,123375.35,1.40,536.61,-3.76,4069.36,1.15,48.92,31.34,88.84,57.15,0.52,57.85,4.41,2024-05-14
Bharti Airtel,1285.40,67.01,764128.07,0.31,2876.40,34.27,37899.50,5.85,12.30,9.33,15.01,12.05,2.81,41.96,1.41,2024-05-14
B P C L,605.70,4.86,131413.29,3.47,4789.57,-36.39,116554.73,-1.32,32.09,1.74,123.82,41.90,0.72,7.67,0.17,2024-05-14
Bajaj Finserv,1579.00,30.91,251879.87,0.06,4084.93,19.76,32040.84,35.62,11.65,4.18,51.07,15.27,4.79,19.95,1.51,2024-05-14
Bajaj Finance,6680.00,28.63,413695.81,0.54,3824.53,21.11,14926.21,31.35,11.87,5.39,233.46,22.05,3.82,19.95,0.98,2024-05-14
Bajaj Auto,9068.10,32.84,253119.36,0.88,2011.43,17.99,11554.95,29.41,33.47,8.74,276.10,26.43,0.07,145.58,3.09,2024-05-14
Axis Bank,1124.15,13.13,346203.16,0.09,7630.07,53.87,30230.58,22.74,7.53,2.66,85.49,20.33,8.88,11.62,0.34,2024-05-14
Asian Paints,2866.80,50.37,275016.25,1.16,1275.30,0.38,8730.76,-0.64,37.51,14.68,56.92,31.45,0.13,45.37,2.45,2024-05-14
Apollo Hospitals,5863.50,106.94,84284.28,0.26,254.40,59.80,4850.60,13.77,14.50,12.95,54.89,13.71,0.75,40.90,1.59,2024-05-14
Adani Ports,1331.00,34.21,287525.49,0.45,2014.77,2.53,6896.50,18.97,12.92,5.43,37.55,17.09,0.93,33.58,2.17,2024-05-14
Adani Enterp.,3037.05,93.43,346115.86,0.04,352.25,-41.62,29180.02,0.82,10.17,8.86,28.43,10.27,1.67,35.76,2.11,2024-05-14
TCS,3901.95,30.31,1412117.36,1.41,12502.00,9.15,61237.00,3.51,64.28,15.60,126.88,51.51,0.09,29.83,3.69,2024-05-14
Sun Pharma.Inds.,1479.90,35.44,355077.60,0.77,2658.74,28.70,11982.90,9.63,17.31,5.60,39.91,16.72,0.05,35.65,1.51,2024-05-27
O N G C,277.80,6.99,349480.17,4.10,11526.53,28.88,166770.63,1.65,18.44,1.06,39.13,16.28,0.45,19.67,0.71,2024-05-27
Wipro,454.10,21.48,237406.79,0.22,2858.20,-7.80,22208.30,-4.23,17.15,3.18,21.14,14.51,0.22,29.93,5.15,2024-05-27
UltraTech Cem.,10268.90,42.00,296460.40,0.36,2258.58,38.68,20418.94,9.41,15.26,4.96,242.65,12.32,0.19,29.50,1.74,2024-05-27
Titan Company,3428.00,87.00,304333.08,0.29,771.00,5.62,12494.00,20.60,22.70,32.40,39.38,32.91,1.65,24.07,4.30,2024-05-27
Tech Mahindra,1333.70,55.25,130292.52,2.40,664.20,-40.86,12871.30,-6.17,11.89,4.91,24.14,8.64,0.10,29.93,-4.92,2024-05-27
Tata Steel,175.80,113.47,219460.40,2.04,522.14,139.90,55311.88,-3.10,12.63,2.44,-2.74,7.28,1.01,18.91,42.34,2024-05-27
Tata Motors,962.65,10.91,352954.76,0.21,17528.59,213.80,119986.31,13.27,20.11,3.77,94.47,49.44,1.26,28.89,0.12,2024-05-27
Tata Consumer,1097.70,76.06,104592.69,0.71,212.26,24.51,3926.94,8.52,10.86,6.52,12.07,8.50,0.22,30.55,2.77,2024-05-27
St Bk of India,835.50,10.28,745651.33,1.63,22202.73,18.18,117469.38,19.77,6.68,2.08,75.17,20.12,13.90,9.46,0.10,2024-05-27
Shriram Finance,2408.85,12.27,90522.85,1.46,2021.28,56.30,9904.30,24.33,11.23,1.82,196.02,15.93,3.99,20.58,0.52,2024-05-27
SBI Life Insuran,1438.75,76.10,144085.79,0.19,810.80,4.37,36255.19,70.25,14.88,9.68,18.91,13.56,0.00,42.65,8.81,2024-05-27
Reliance Industr,2949.75,28.66,1995709.31,0.30,21243.00,-1.34,236533.00,11.13,10.02,2.52,102.90,9.23,0.44,8.18,2.40,2024-05-27
Power Grid Corpn,320.25,19.07,297851.79,3.47,4166.33,-3.62,11978.11,-2.33,12.98,3.41,16.74,18.30,1.42,30.91,2.49,2024-05-27
Nestle India,2470.30,74.73,238175.74,0.68,934.17,25.79,5267.59,9.05,152.52,71.32,33.15,122.11,0.10,59.09,5.61,2024-05-27
NTPC,369.90,17.22,358679.69,1.96,6490.05,26.91,47622.06,7.61,10.37,2.23,21.46,13.53,1.48,30.91,2.57,2024-05-27
Maruti Suzuki,12962.25,30.16,407536.39,0.69,3952.30,47.05,38471.20,19.43,23.68,4.72,429.01,18.30,0.00,30.42,1.70,2024-05-27
M & M,2574.45,28.42,320140.33,0.63,3124.94,5.37,35451.73,9.23,13.66,4.86,90.62,18.39,1.61,30.42,1.69,2024-05-27
Larsen & Toubro,3676.20,38.92,505387.17,0.77,5013.17,8.72,67078.68,14.99,13.40,5.82,95.00,14.80,1.35,38.30,4.67,2024-05-27
LTIMindtree,4886.55,31.61,144721.71,1.25,1100.70,-1.24,8892.90,2.32,32.11,7.20,154.72,25.03,0.10,29.93,1.28,2024-05-27
Kotak Mah. Bank,1718.70,18.73,341663.96,0.09,5337.20,16.88,15156.18,26.50,8.75,3.05,91.62,16.29,3.75,12.54,0.92,2024-05-27
JSW Steel,909.55,26.42,222426.27,0.37,1322.00,-64.55,46269.00,-1.48,13.24,2.86,36.03,11.75,1.13,18.91,11.44,2024-05-27
Infosys,1475.60,23.55,612502.05,2.57,7975.00,30.04,37923.00,1.29,39.99,6.95,63.20,31.83,0.09,29.93,2.10,2024-05-27
IndusInd Bank,1469.85,12.76,114418.87,1.14,2346.84,15.01,12198.53,21.73,8.42,2.08,114.99,16.39,7.06,12.54,0.58,2024-05-27
ITC,436.55,26.62,545020.50,2.92,5190.71,0.02,17922.70,1.63,37.46,7.36,16.39,28.49,0.00,25.59,2.64,2024-05-27
ICICI Bank,1142.50,18.07,803142.23,0.71,12200.05,18.46,42606.72,23.72,8.37,3.69,63.02,20.63,6.53,12.54,0.30,2024-05-27
Hind. Unilever,2393.90,54.83,562468.66,1.76,2561.00,-1.59,15210.00,-0.03,27.24,11.02,43.74,20.24,0.03,56.27,5.17,2024-05-27
Hindalco Inds.,677.00,14.97,152136.52,0.44,3174.00,31.65,55994.00,0.25,11.24,1.44,45.19,10.09,0.53,23.47,1.04,2024-05-27
Hero Motocorp,5082.05,26.29,101606.00,1.99,943.46,16.13,9616.68,14.02,29.77,5.74,187.31,22.47,0.03,63.07,9.16,2024-05-27
HDFC Life Insur.,567.55,77.55,122076.76,0.35,411.64,13.72,28041.28,34.44,6.61,8.30,7.32,11.38,0.06,42.65,13.10,2024-05-27
HDFC Bank,1539.15,18.18,1169278.55,1.29,18012.87,39.92,79433.61,67.06,9.50,2.94,84.33,22.13,7.39,12.54,0.77,2024-05-27
HCL Technologies,1353.25,23.43,367226.75,3.85,3995.00,0.13,28499.00,7.11,29.84,5.37,57.86,23.49,0.08,29.93,2.48,2024-05-27
Grasim Inds,2396.00,27.33,160186.31,0.41,2721.81,14.57,37727.13,12.75,9.38,1.83,85.42,7.00,1.55,27.12,1.49,2024-05-27
Eicher Motors,4804.90,32.87,131560.87,0.76,1070.45,18.21,4256.04,11.87,31.13,7.34,146.13,24.22,0.02,63.07,2.59,2024-05-27
Dr Reddy's Labs,5848.90,17.46,97570.31,0.68,1309.80,36.42,7113.80,12.65,26.86,3.43,334.37,21.64,0.07,35.65,0.71,2024-05-27
Divi's Lab.,4290.30,71.20,113894.04,0.72,538.00,67.60,2303.00,18.04,16.44,8.37,60.27,12.15,0.00,33.38,20.88,2024-05-27
Coal India,495.95,8.17,305640.45,4.94,8640.45,25.78,37410.39,-1.94,65.11,3.69,60.69,53.39,0.08,20.05,0.50,2024-05-27
Cipla,1481.85,28.10,119643.81,0.57,931.87,48.80,6163.24,7.39,23.08,4.46,51.05,16.99,0.02,35.65,1.11,2024-05-27
Britannia Inds.,5200.00,58.65,125251.54,1.37,536.61,-3.76,4069.36,1.15,48.92,31.82,88.84,57.15,0.52,59.09,4.48,2024-05-27
Bharti Airtel,1395.15,69.77,830595.13,0.29,2068.20,29.63,37599.10,4.42,13.13,9.61,13.20,14.93,2.63,49.78,0.57,2024-05-27
B P C L,655.30,5.15,142151.18,3.18,4789.57,-36.39,116554.73,-1.32,32.09,1.91,123.82,41.90,0.72,8.18,0.18,2024-05-27
Bajaj Finserv,1605.00,31.38,256075.95,0.06,4084.93,19.76,32040.84,35.62,11.65,4.28,51.07,15.27,4.79,20.58,1.54,2024-05-27
Bajaj Finance,6936.85,29.72,429388.44,0.53,3824.53,21.11,14926.21,31.35,11.87,5.63,233.46,22.05,3.82,20.58,1.01,2024-05-27
Bajaj Auto,9040.45,32.74,252391.03,0.89,2011.43,17.99,11554.95,29.41,33.47,8.68,276.10,26.43,0.07,121.99,3.08,2024-05-27
Axis Bank,1192.45,13.89,368162.05,0.09,7630.07,53.87,30230.58,22.74,7.53,2.76,85.49,20.33,8.88,12.54,0.35,2024-05-27
Asian Paints,2888.05,50.76,277021.15,1.17,1275.30,0.38,8730.76,-0.64,37.51,14.80,56.92,31.45,0.13,43.45,2.47,2024-05-27
Apollo Hospitals,5948.95,108.51,85536.74,0.25,254.40,59.80,4850.60,13.77,14.50,13.15,54.89,13.71,0.75,41.81,1.62,2024-05-27
Adani Ports,1435.70,36.90,310131.11,0.40,2014.77,2.53,6896.50,18.97,12.92,5.89,37.55,17.09,0.93,36.40,2.34,2024-05-27
Adani Enterp.,3325.05,102.32,379056.09,0.04,352.25,-41.62,29180.02,0.82,10.17,9.65,28.43,10.27,1.67,35.88,2.31,2024-05-27
TCS,3882.00,29.99,1404541.55,1.43,12502.00,9.15,61237.00,3.51,64.28,15.57,126.88,51.51,0.09,29.93,3.65,2024-05-27
Sun Pharma.Inds.,1479.90,35.44,355077.60,0.77,2658.74,28.70,11982.90,9.63,17.31,5.60,39.91,16.72,0.05,35.65,1.51,2024-05-27
O N G C,277.85,6.99,349543.07,4.10,11526.53,28.88,166770.63,1.65,18.44,1.06,39.13,16.28,0.45,19.67,0.71,2024-05-27
Wipro,454.35,21.49,237537.49,0.22,2858.20,-7.80,22208.30,-4.23,17.15,3.18,21.14,14.51,0.22,29.93,5.15,2024-05-27
UltraTech Cem.,10264.45,41.98,296331.93,0.36,2258.58,38.68,20418.94,9.41,15.26,4.96,242.65,12.32,0.19,29.50,1.74,2024-05-27
Titan Company,3426.60,86.96,304208.79,0.29,771.00,5.62,12494.00,20.60,22.70,32.39,39.38,32.91,1.65,24.07,4.30,2024-05-27
Tech Mahindra,1335.00,55.30,130419.52,2.40,664.20,-40.86,12871.30,-6.17,11.89,4.91,24.14,8.64,0.10,29.93,-4.92,2024-05-27
Tata Steel,175.90,113.53,219585.24,2.04,522.14,139.90,55311.88,-3.10,12.63,2.44,-2.74,7.28,1.01,18.91,42.36,2024-05-27
Tata Motors,962.30,10.91,352826.43,0.21,17528.59,213.80,119986.31,13.27,20.11,3.77,94.47,49.44,1.26,28.89,0.12,2024-05-27
Tata Consumer,1097.90,76.07,104611.75,0.71,212.26,24.51,3926.94,8.52,10.86,6.52,12.07,8.50,0.22,30.55,2.77,2024-05-27
St Bk of India,835.55,10.28,745695.95,1.63,22202.73,18.18,117469.38,19.77,6.68,2.08,75.17,20.12,13.90,9.46,0.10,2024-05-27
Shriram Finance,2410.00,12.28,90566.07,1.46,2021.28,56.30,9904.30,24.33,11.23,1.82,196.02,15.93,3.99,20.58,0.53,2024-05-27
SBI Life Insuran,1437.20,76.02,143930.56,0.19,810.80,4.37,36255.19,70.25,14.88,9.67,18.91,13.56,0.00,42.65,8.80,2024-05-27
Reliance Industr,2945.80,28.62,1993036.86,0.30,21243.00,-1.34,236533.00,11.13,10.02,2.52,102.90,9.23,0.44,8.18,2.40,2024-05-27
Power Grid Corpn,320.50,19.09,298084.31,3.47,4166.33,-3.62,11978.11,-2.33,12.98,3.41,16.74,18.30,1.42,30.91,2.49,2024-05-27
Nestle India,2470.30,74.73,238175.74,0.68,934.17,25.79,5267.59,9.05,152.52,71.32,33.15,122.11,0.10,59.09,5.61,2024-05-27
NTPC,370.15,17.23,358922.11,1.96,6490.05,26.91,47622.06,7.61,10.37,2.23,21.46,13.53,1.48,30.91,2.57,2024-05-27
Maruti Suzuki,12962.45,30.16,407542.68,0.69,3952.30,47.05,38471.20,19.43,23.68,4.72,429.01,18.30,0.00,30.42,1.70,2024-05-27
M & M,2577.05,28.45,320463.65,0.63,3124.94,5.37,35451.73,9.23,13.66,4.86,90.62,18.39,1.61,30.42,1.69,2024-05-27
Larsen & Toubro,3675.00,38.91,505222.20,0.77,5013.17,8.72,67078.68,14.99,13.40,5.82,95.00,14.80,1.35,38.30,4.67,2024-05-27
LTIMindtree,4886.95,31.61,144733.56,1.25,1100.70,-1.24,8892.90,2.32,32.11,7.20,154.72,25.03,0.10,29.93,1.28,2024-05-27
Kotak Mah. Bank,1718.35,18.73,341594.38,0.09,5337.20,16.88,15156.18,26.50,8.75,3.05,91.62,16.29,3.75,12.54,0.92,2024-05-27
JSW Steel,909.60,26.42,222438.50,0.37,1322.00,-64.55,46269.00,-1.48,13.24,2.86,36.03,11.75,1.13,18.91,11.44,2024-05-27
Infosys,1474.85,23.54,612190.74,2.57,7975.00,30.04,37923.00,1.29,39.99,6.95,63.20,31.83,0.09,29.93,2.09,2024-05-27
IndusInd Bank,1469.25,12.76,114372.17,1.14,2346.84,15.01,12198.53,21.73,8.42,2.08,114.99,16.39,7.06,12.54,0.58,2024-05-27
ITC,436.65,26.63,545145.35,2.92,5190.71,0.02,17922.70,1.63,37.46,7.36,16.39,28.49,0.00,25.59,2.64,2024-05-27
ICICI Bank,1142.45,18.07,803107.08,0.71,12200.05,18.46,42606.72,23.72,8.37,3.69,63.02,20.63,6.53,12.54,0.30,2024-05-27
Hind. Unilever,2394.25,54.84,562550.90,1.76,2561.00,-1.59,15210.00,-0.03,27.24,11.02,43.74,20.24,0.03,56.27,5.17,2024-05-27
Hindalco Inds.,677.00,14.97,152136.52,0.44,3174.00,31.65,55994.00,0.25,11.24,1.44,45.19,10.09,0.53,23.47,1.04,2024-05-27
Hero Motocorp,5082.05,26.29,101606.00,1.99,943.46,16.13,9616.68,14.02,29.77,5.74,187.31,22.47,0.03,63.07,9.16,2024-05-27
HDFC Life Insur.,567.40,77.53,122044.50,0.35,411.64,13.72,28041.28,34.44,6.61,8.29,7.32,11.38,0.06,42.65,13.10,2024-05-27
HDFC Bank,1539.55,18.19,1169582.43,1.29,18012.87,39.92,79433.61,67.06,9.50,2.94,84.33,22.13,7.39,12.54,0.77,2024-05-27
HCL Technologies,1352.70,23.42,367077.49,3.85,3995.00,0.13,28499.00,7.11,29.84,5.36,57.86,23.49,0.08,29.93,2.48,2024-05-27
Grasim Inds,2395.50,27.33,160152.88,0.41,2721.81,14.57,37727.13,12.75,9.38,1.83,85.42,7.00,1.55,27.12,1.49,2024-05-27
Eicher Motors,4809.20,32.90,131678.61,0.76,1070.45,18.21,4256.04,11.87,31.13,7.35,146.13,24.22,0.02,63.07,2.60,2024-05-27
Dr Reddy's Labs,5850.80,17.46,97602.00,0.68,1309.80,36.42,7113.80,12.65,26.86,3.43,334.37,21.64,0.07,35.65,0.71,2024-05-27
Divi's Lab.,4291.00,71.21,113912.62,0.72,538.00,67.60,2303.00,18.04,16.44,8.37,60.27,12.15,0.00,33.38,20.88,2024-05-27
Coal India,496.55,8.18,306010.21,4.93,8640.45,25.78,37410.39,-1.94,65.11,3.69,60.69,53.39,0.08,20.05,0.50,2024-05-27
Cipla,1481.80,28.10,119639.77,0.57,931.87,48.80,6163.24,7.39,23.08,4.46,51.05,16.99,0.02,35.65,1.11,2024-05-27
Britannia Inds.,5197.60,58.62,125193.73,1.37,536.61,-3.76,4069.36,1.15,48.92,31.81,88.84,57.15,0.52,59.09,4.48,2024-05-27
Bharti Airtel,1395.65,69.79,830892.80,0.29,2068.20,29.63,37599.10,4.42,13.13,9.61,13.20,14.93,2.63,49.78,0.57,2024-05-27
B P C L,655.50,5.15,142194.56,3.18,4789.57,-36.39,116554.73,-1.32,32.09,1.91,123.82,41.90,0.72,8.18,0.18,2024-05-27
Bajaj Finserv,1605.25,31.39,256115.84,0.06,4084.93,19.76,32040.84,35.62,11.65,4.28,51.07,15.27,4.79,20.58,1.54,2024-05-27
Bajaj Finance,6931.40,29.70,429051.09,0.53,3824.53,21.11,14926.21,31.35,11.87,5.62,233.46,22.05,3.82,20.58,1.01,2024-05-27
Bajaj Auto,9039.95,32.74,252377.07,0.89,2011.43,17.99,11554.95,29.41,33.47,8.68,276.10,26.43,0.07,121.99,3.08,2024-05-27
Axis Bank,1191.70,13.88,367930.49,0.09,7630.07,53.87,30230.58,22.74,7.53,2.76,85.49,20.33,8.88,12.54,0.35,2024-05-27
Asian Paints,2885.00,50.71,276728.60,1.17,1275.30,0.38,8730.76,-0.64,37.51,14.79,56.92,31.45,0.13,43.45,2.47,2024-05-27
Apollo Hospitals,5948.90,108.51,85536.02,0.25,254.40,59.80,4850.60,13.77,14.50,13.15,54.89,13.71,0.75,41.81,1.62,2024-05-27
Adani Ports,1434.30,36.86,309828.69,0.40,2014.77,2.53,6896.50,18.97,12.92,5.89,37.55,17.09,0.93,36.40,2.34,2024-05-27
Adani Enterp.,3321.00,102.20,378594.39,0.04,352.25,-41.62,29180.02,0.82,10.17,9.63,28.43,10.27,1.67,35.88,2.31,2024-05-27
TCS,3883.00,30.00,1404903.36,1.43,12502.00,9.15,61237.00,3.51,64.28,15.57,126.88,51.51,0.09,29.93,3.65,2024-05-27
